index,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
651,93834.0,-3.765680122,5.890735238,-10.20226763,10.25903598,-5.611448417,-3.235375579,-10.63268348,3.272716326,-5.268905243,-11.18212545,8.879475668,-18.43113103,-0.232822028,-15.0216573,0.141186253,-12.1863625,-20.16556738,-7.051651353,2.500827208,1.194137321,2.245605934,0.546320675,0.381853428,0.382024544,-0.821036495,0.39435512,1.412960993,0.782407054,0.01,1
857,41646.0,-3.240186587,2.97812179,-4.162313937,3.869124379,-3.645256455,-0.126270561,-4.744729737,-0.065331044,-2.168366095,-4.758304075,3.471097846,-6.533106769,-0.98346867,-6.073989003,1.125406709,-7.718042405,-9.855927437,-5.193907893,2.042697688,-0.224043463,2.601441029,0.231910116,-0.036489849,0.042639645,-0.438330346,-0.12582108,0.421299802,0.003145876,172.32,1
753,55614.0,-7.347954947,2.397041348,-7.572355818,5.177819255,-2.854838283,-1.795238774,-8.783234735,0.437156561,-3.74059751,-8.332863063,5.763189409,-8.707879292,-1.716949488,-9.577194393,0.146369003,-7.586490786,-12.50393097,-4.375631012,2.46519487,0.073163791,-0.17527337,0.543325052,-0.547955067,-0.50372169,-0.310932776,-0.163986018,1.197895047,0.378186688,0.83,1
967,8408.0,-1.813280485,4.917850711,-5.926129694,5.701500431,1.204392572,-3.035137548,-1.713402063,0.561257391,-3.796354252,-7.454840651,7.388055123,-10.47522865,-0.379314527,-11.73672912,-2.086988952,-2.442353983,-3.535523512,0.130360307,-2.071450488,0.576656033,0.615641835,-0.406427275,-0.737018076,-0.279641772,1.106766374,0.323885478,0.894766672,0.5695186,1.0,1
695,149640.0,0.754315926,2.379821852,-5.137274493,3.818391722,0.043202652,-1.285451374,-1.766683621,0.756710662,-1.765722098,-3.263006726,3.592796832,-2.772348806,-0.074533654,-6.281093649,0.165978009,-2.679171246,-1.385556529,0.249056749,2.353452693,0.369662962,0.397057601,0.141165218,0.171984535,0.394273776,-0.444641837,-0.263189064,0.30470295,-0.044362275,2.0,1
39,9383.0,1.151700111,-0.011932017,1.170528191,1.134889395,-0.707808278,-0.002690672,-0.506229979,0.002534982,2.141613052,-0.752777135,0.59490399,-1.361959768,2.111418157,0.864435891,-1.477675769,-0.930954514,1.350220832,-1.004286225,-0.326022097,-0.182625478,-0.243019721,-0.034243505,0.016980789,0.42733221,0.397987086,0.497480358,-0.009027321,0.006887831,0.01,0
129,128802.0,-2.944414375,-2.079573877,0.051556393,-3.406230999,2.630085737,-2.577131059,0.192399294,-0.092543544,1.188845745,-1.791087295,0.791124902,0.514392818,-1.688893042,0.895795556,-0.158107337,-0.677229441,-0.66147338,0.523105714,0.26438434,-0.08874789,0.106334282,0.226148573,-0.504565172,0.792425913,1.478105185,-0.791986315,0.162337008,0.280255515,113.47,0
66,129322.0,2.331682195,-1.093702201,-1.601214989,-1.717339788,-0.60135443,-0.924735194,-0.557299214,-0.380134248,-1.810270572,1.63961697,-0.762888482,-0.697302573,0.848931735,-0.081522536,0.143272153,-0.664487753,0.425042823,-0.48745786,-0.111916484,-0.37254834,-0.30904599,-0.508483034,0.30940755,0.567699959,-0.14712683,-0.33852784,-0.023720586,-0.049360527,24.95,0
293,115265.0,2.132595376,-0.103535656,-2.444977313,0.071637546,0.870858352,-0.782811688,0.610393376,-0.379827724,0.345054148,0.162364118,-1.655421327,-0.492213315,-0.837939749,0.696996731,-0.1346643,-0.35607028,-0.319082366,-0.41716414,0.453098707,-0.183486397,0.046419384,0.204692218,-0.096543711,0.099624547,0.432358121,0.837613246,-0.138559644,-0.084298099,29.95,0
285,900.0,-1.037083629,0.628594269,0.800018737,-1.284623537,0.38534588,-0.82288601,1.358448816,-0.17265526,-0.7255262,-0.437558988,1.095915508,0.691018816,0.161255088,0.377034779,-0.453662221,0.418546149,-0.791420491,-0.325875349,0.262094264,0.069598912,-0.308919428,-0.87905273,0.187983545,0.032678112,-0.101777925,0.597160212,0.128288824,0.11648631,89.9,0
